min_price,max_price,headers,related_links,total_characteristics,char_Диагональ,char_Разрешение,char_Матрица,char_Частота,char_Контрастность,char_Яркость,char_Разъемы
177990,194790.0,Dell,Series S; Power Delivery; FreeSync; динамики,7,27.0,2560x1440 (16:9),"IPS, отклик 4 мс",75,1 000:1,350.0,"HDMI, USB C (видео)"
299990,,HP,2024 год; OMEN; игровой; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; динамики,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс",240,1 000:1,400.0,"HDMI, DisplayPort"
672610,768822.0,Philips,Evnia; игровой; QD-OLED; HDMI 2.1; Power Delivery; изогнутый; HDR; FreeSync; динамики; сабвуфер; хороший NTSC; хороший sRGB; хороший AdobeRGB; хороший DCI-P3,6,48.9,5120x1440 (32:9),"QD-OLED, отклик 0.03 мс",240,1 500 000:1,,"HDMI, DisplayPort, USB C (видео)"
146680,,Philips,2025 год; Evnia; игровой; HDR; Adaptive-Sync; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс",260,1 000:1,300.0,"HDMI, DisplayPort"
806990,852618.0,BenQ,2025 год; Zowie; игровой; HDMI 2.1; Adaptive-Sync,7,24.1,1920x1080 (16:9),TN+film,600,1 000:1,320.0,"HDMI, DisplayPort"
66218,77616.0,AOC,2024 год; Gaming (игровые); игровой; HDR; Adaptive-Sync; динамики; хороший sRGB,7,23.8,1920x1080 (16:9),"IPS, отклик 1 мс, MPRT 0.5 мс",180,1 000:1,300.0,"HDMI, DisplayPort"
83419,100800.0,Gigabyte,игровой; HDR; TÜV Rheinland; FreeSync; хороший sRGB,7,23.8,1920x1080 (16:9),"IPS, отклик 2 мс, MPRT 1 мс",165,1 100:1,300.0,"HDMI, DisplayPort"
70990,84032.0,Acer,2025 год; серия K; Adaptive-Sync; динамики,7,27.0,1920x1080 (16:9),"IPS, MPRT 1 мс",120,1 000:1,250.0,"VGA, HDMI"
74990,87292.0,Acer,2025 год; Nitro; игровой; Adaptive-Sync,6,27.0,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",120,,250.0,"HDMI, DisplayPort"
55990,73901.0,Acer,2025 год; серия K; Adaptive-Sync,6,23.8,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",120,,250.0,"VGA, HDMI"
45245,,MSI,2024 год; PRO; TÜV Rheinland; Adaptive-Sync; хороший sRGB,6,21.5,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",100,1 300:1,,"VGA, HDMI"
538252,640140.0,Dell,2024 год; UltraSharp; для графики; USB C хаб; Power Delivery; изогнутый; CalMAN; TÜV Rheinland; KVM; динамики; хороший sRGB; хороший DCI-P3,7,34.0,3440x1440 (21:9),"IPS, отклик 8 мс",120,2 000:1,300.0,"HDMI, DisplayPort, USB C (видео), Thunderbolt, LAN"
554954,,Philips,4K; Power Delivery; HDR; Adaptive-Sync; динамики; хороший NTSC; хороший sRGB; хороший AdobeRGB,7,27.0,3840x2160 (16:9),"Mini LED IPS, отклик 4 мс",60,1 300:1,1400.0,"HDMI, DisplayPort, USB C (видео), Thunderbolt, LAN"
80180,90952.0,AOC,2025 год; Gaming (игровые); игровой; HDR; Adaptive-Sync; хороший sRGB,7,27.0,1920x1080 (16:9),"IPS, отклик 1 мс, MPRT 0.5 мс",180,1 000:1,300.0,"HDMI, DisplayPort"
359990,369576.0,Acer,2024 год; Predator; игровой; 4K; HDMI 2.1; HDR; FreeSync; динамики,7,31.5,3840x2160 (16:9),"IPS, MPRT 0.5 мс",160,1 000:1,400.0,"HDMI, DisplayPort"
62990,75263.0,Lenovo,2025 год; Legion; игровой; HDMI 2.1; HDR; TÜV Rheinland; FreeSync; хороший sRGB,7,23.8,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",144,1 500:1,250.0,"HDMI, DisplayPort"
1099990,1299950.0,Corsair,игровой; OLED; HDMI 2.1; изогнутый; HDR; FreeSync; хороший sRGB; хороший DCI-P3,7,45.0,3440x1440 (21:9),"OLED, отклик 0.03 мс",240,1 500 000:1,400.0,"HDMI, DisplayPort, USB C (видео)"
117395,138720.0,Samsung,2024 год; Odyssey; игровой; HDR; TÜV Rheinland; FreeSync,7,27.0,2560x1440 (16:9),"*VA, MPRT 1 мс",165,3 000:1,300.0,"HDMI, DisplayPort"
509300,,Samsung,2024 год; Odyssey; игровой; HDMI 2.1; изогнутый; HDR; TÜV Rheinland; FreeSync,7,49.0,5120x1440 (32:9),"*VA, отклик 1 мс",240,2 500:1,450.0,"HDMI, DisplayPort"
77935,124519.0,MSI,Optix; игровой; TÜV Rheinland; FreeSync; хороший sRGB,7,23.8,1920x1080 (16:9),"IPS, MPRT 1 мс",170,1 100:1,250.0,"HDMI, DisplayPort"
170990,,Acer,2024 год; Nitro; игровой; HDMI 2.1; HDR; FreeSync; динамики,7,27.0,2560x1440 (16:9),"IPS, MPRT 0.5 мс",300,1 000:1,400.0,"HDMI, DisplayPort"
120000,140211.0,2E,игровой; изогнутый; HDR; FreeSync,7,31.5,2560x1440 (16:9),"*VA, отклик 1 мс",165,4 000:1,250.0,"HDMI, DisplayPort"
98990,108712.0,Asus,2025 год; TÜV Rheinland; Adaptive-Sync; динамики,7,24.5,1920x1080 (16:9),"IPS, MPRT 1 мс",120,1 500:1,300.0,"VGA, HDMI"
81990,104072.0,AOC,Gaming (игровые); игровой; FreeSync; хороший sRGB,7,24.0,1920x1080 (16:9),"AH-IPS, отклик 4 мс, MPRT 1 мс",144,1 000:1,250.0,"VGA, HDMI, DisplayPort"
441838,474990.0,Dell,2024 год; Alienware; игровой; QD-OLED; HDMI 2.1; USB C хаб; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; хороший DCI-P3,7,26.7,2560x1440 (16:9),"QD-OLED, отклик 0.03 мс",360,1 500 000:1,250.0,"HDMI, DisplayPort"
346130,,Asus,2024 год; ROG Strix; игровой; 4K; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; FreeSync; хороший sRGB,7,27.0,3840x2160 (16:9),"IPS, отклик 1 мс",160,1 000:1,400.0,"HDMI, DisplayPort, USB C (видео)"
96990,110334.0,Dell,2024 год; Series P; USB C хаб; TÜV Rheinland,7,21.5,1920x1080 (16:9),"IPS, отклик 8 мс",100,1 500:1,250.0,"VGA, HDMI, DisplayPort"
49990,54990.0,LG,2025 год,7,23.8,1920x1080 (16:9),"IPS, отклик 5 мс",100,1 000:1,250.0,HDMI
69990,89380.0,Acer,2025 год; Nitro; игровой; Adaptive-Sync; динамики,7,27.0,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",120,1 500:1,250.0,"HDMI, DisplayPort"
58990,72155.0,Asus,2024 год; игровой; TÜV Rheinland; Adaptive-Sync,7,23.8,1920x1080 (16:9),"IPS, MPRT 1 мс",120,1 500:1,250.0,"VGA, HDMI"
189990,,HP,2025 год; OMEN; игровой; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс",180,1 000:1,400.0,"HDMI, DisplayPort"
183131,210426.0,MSI,2024 год; Power Delivery; изогнутый; HDR; TÜV Rheinland; Adaptive-Sync; KVM; динамики; хороший sRGB,7,34.0,3440x1440 (21:9),"*VA, отклик 4 мс, MPRT 1 мс",120,3 500:1,300.0,"HDMI, DisplayPort, USB C (видео)"
370260,,HP,2024 год; для графики; 4K; USB C хаб; Power Delivery; HDR; Pantone; TÜV Rheinland; KVM; хороший sRGB; хороший DCI-P3,7,27.0,3840x2160 (16:9),"IPS, отклик 5 мс",60,2 000:1,400.0,"HDMI, DisplayPort, USB C (видео), Thunderbolt, LAN"
302452,349990.0,Asus,ProArt; для графики; 4K; Power Delivery; HDR; CalMAN; TÜV Rheinland; Adaptive-Sync; динамики; хороший sRGB; хороший AdobeRGB; хороший DCI-P3,7,27.0,3840x2160 (16:9),"IPS, отклик 5 мс",60,1 000:1,400.0,"HDMI, DisplayPort, USB C (видео)"
229925,274532.0,Philips,2025 год; Evnia; игровой; HDR; Adaptive-Sync; хороший sRGB,7,24.5,1920x1080 (16:9),"IPS, отклик 1 мс, MPRT 0.3 мс",390,1 000:1,400.0,"HDMI, DisplayPort"
198935,199990.0,Asus,TUF; игровой; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; динамики,7,27.0,2560x1440 (16:9),"*VA, MPRT 1 мс",170,3 000:1,300.0,"HDMI, DisplayPort"
289990,340300.0,Asus,ZenScreen; портативный; Adaptive-Sync; FreeSync; хороший sRGB,7,17.3,1920x1080 (16:9),"IPS, отклик 5 мс",144,800:1,300.0,"HDMI, USB C (видео)"
968339,,Asus,2024 год; ROG Swift; игровой; 4K; QD-OLED; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; KVM; хороший DCI-P3,7,31.5,3840x2160 (16:9),"QD-OLED, отклик 0.03 мс",240,1 500 000:1,250.0,"HDMI, DisplayPort, USB C (видео)"
285990,354590.0,MSI,2024 год; игровой; 4K; HDMI 2.1; HDR; TÜV Rheinland; FreeSync; хороший sRGB; хороший DCI-P3,7,27.0,3840x2160 (16:9),"IPS, отклик 0.5 мс",160,1 000:1,400.0,"HDMI, DisplayPort, USB C (видео)"
102990,118020.0,Acer,2025 год; Nitro; игровой; FreeSync; динамики,7,24.5,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",300,1 000:1,250.0,"HDMI, DisplayPort"
73960,76990.0,AOC,2025 год; Gaming (игровые); игровой; HDR; Adaptive-Sync; динамики; хороший sRGB,7,23.8,1920x1080 (16:9),"IPS, отклик 1 мс, MPRT 0.5 мс",200,1 000:1,300.0,"HDMI, DisplayPort"
215605,219990.0,Asus,TUF; игровой; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс",180,1 000:1,250.0,"HDMI, DisplayPort"
153990,192107.0,LG,2024 год; UltraGear (игровые); игровой; HDR; FreeSync,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс",180,1 000:1,300.0,"HDMI, DisplayPort"
165300,198341.0,Samsung,2024 год; Power Delivery; HDR; TÜV Rheinland; FreeSync; KVM,7,27.0,2560x1440 (16:9),"IPS, отклик 5 мс",100,1 000:1,350.0,"HDMI, DisplayPort, USB C (видео), LAN"
216296,283478.0,Samsung,Odyssey; игровой; HDMI 2.1; изогнутый; HDR; FreeSync; динамики,7,26.9,2560x1440 (16:9),"*VA, отклик 1 мс",240,2 500:1,350.0,"HDMI, DisplayPort, LAN"
458972,524560.0,Acer,Predator; игровой; OLED; Power Delivery; HDR; TÜV Rheinland; FreeSync; динамики; хороший DCI-P3,7,27.0,2560x1440 (16:9),"OLED, отклик 0.03 мс",240,1 500 000:1,150.0,"HDMI, DisplayPort, USB C (видео)"
632007,698961.0,LG,2024 год; UltraGear (игровые); игровой; OLED; HDMI 2.1; изогнутый; HDR; Adaptive-Sync; FreeSync; хороший DCI-P3,7,34.0,3440x1440 (21:9),"OLED, отклик 0.03 мс",240,1 500 000:1,275.0,"HDMI, DisplayPort"
602259,759990.0,Dell,UltraSharp; 4K; HDMI 2.1; USB C хаб; Power Delivery; KVM; динамики,7,42.5,3840x2160 (16:9),"IPS, отклик 5 мс",60,1 000:1,350.0,"HDMI, DisplayPort, USB C (видео), LAN"
216638,248990.0,Asus,ProArt; для графики; CalMAN; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),отклик 5 мс,75,1 000:1,350.0,"DVI-D, HDMI, DisplayPort, mini DisplayPort"
549745,689952.0,Samsung,2024 год; Odyssey; игровой; QD-OLED; HDMI 2.1; USB C хаб; изогнутый; HDR; FreeSync; хороший DCI-P3,7,49.0,5120x1440 (32:9),"QD-OLED, отклик 0.03 мс",144,1 000 000:1,250.0,"HDMI, Micro HDMI v 2.1, DisplayPort"
368990,449990.0,Asus,ROG Strix; игровой; HDR; Adaptive-Sync; FreeSync; хороший sRGB,7,32.0,2560x1440 (16:9),"IPS, отклик 1 мс",175,1 000:1,600.0,"HDMI, DisplayPort"
799990,827547.0,Asus,ROG Strix; игровой; изогнутый; HDR; динамики; хороший DCI-P3,7,34.0,3440x1440 (21:9),"IPS, отклик 1 мс",180,1 000:1,400.0,"HDMI, DisplayPort, USB C (видео)"
133990,,LG,2024 год; UltraGear (игровые); игровой; изогнутый; HDR; Adaptive-Sync; FreeSync,7,31.5,2560x1440 (16:9),"*VA, отклик 1 мс",180,3 000:1,300.0,"HDMI, DisplayPort"
180904,204520.0,Asus,HDR; TÜV Rheinland; FreeSync; динамики; хороший sRGB,7,31.5,2560x1440 (16:9),"IPS, отклик 5 мс",75,1 000:1,350.0,"HDMI, DisplayPort"
199990,220435.0,Lenovo,2024 год; Legion; игровой; HDMI 2.1; HDR; TÜV Rheinland; FreeSync; динамики,7,27.0,2560x1440 (16:9),"IPS, отклик 5 мс, MPRT 0.5 мс",165,1 000:1,350.0,"HDMI, DisplayPort"
711907,803837.0,MSI,2024 год; игровой; QD-OLED; HDMI 2.1; Power Delivery; изогнутый; HDR; TÜV Rheinland; Adaptive-Sync; KVM; хороший sRGB; хороший DCI-P3,7,49.0,5120x1440 (32:9),"QD-OLED, отклик 0.03 мс",144,1 500 000:1,250.0,"HDMI, DisplayPort, USB C (видео)"
159990,,Asus,2025 год; TUF; игровой; изогнутый; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),"*VA, отклик 1 мс, MPRT 0.5 мс",180,5 000:1,300.0,"HDMI, DisplayPort"
229585,272274.0,Lenovo,Legion; игровой; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс, MPRT 0.5 мс",180,1 000:1,400.0,"HDMI, DisplayPort, USB C (видео)"
323180,367289.0,MSI,2024 год; игровой; 4K; QLED; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; KVM; хороший sRGB; хороший AdobeRGB; хороший DCI-P3,7,27.0,3840x2160 (16:9),"QLED, отклик 0.5 мс, MPRT 1 мс",160,1 000:1,400.0,"HDMI, DisplayPort, USB C (видео)"
339990,,Asus,TUF; игровой; HDR; TÜV Rheinland; FreeSync; динамики,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс",240,1 000:1,400.0,"HDMI, DisplayPort"
197654,,BenQ,2024 год; Zowie; игровой; Adaptive-Sync,7,24.5,1920x1080 (16:9),TN+film,240,1 000:1,320.0,"HDMI, DisplayPort"
541049,613446.0,Asus,ProArt; для графики; 4K; Power Delivery; HDR; CalMAN; TÜV Rheinland; Adaptive-Sync; динамики; хороший sRGB; хороший DCI-P3,7,31.5,3840x2160 (16:9),"IPS, отклик 5 мс",60,1 000:1,400.0,"HDMI, DisplayPort, USB C (видео)"
279990,292953.0,Gigabyte,игровой; 4K; HDMI 2.1; HDR; TÜV Rheinland; FreeSync; KVM; динамики; хороший sRGB,7,28.0,3840x2160 (16:9),"IPS, отклик 1 мс",144,1 000:1,300.0,"HDMI, DisplayPort, USB C (видео)"
209990,,HP,OMEN; игровой; HDR; FreeSync,7,31.5,2560x1440 (16:9),"IPS, отклик 1 мс",165,1 000:1,400.0,"HDMI, DisplayPort"
136005,154893.0,Philips,2024 год; Evnia; игровой; изогнутый; HDR; Adaptive-Sync; хороший NTSC; хороший sRGB; хороший AdobeRGB,7,27.0,1920x1080 (16:9),"*VA, отклик 1 мс, MPRT 0.3 мс",280,4 000:1,300.0,"HDMI, DisplayPort"
146990,156595.0,Gigabyte,игровой; изогнутый; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; хороший sRGB,7,27.0,2560x1440 (16:9),"*VA, MPRT 1 мс",165,4 000:1,250.0,"HDMI, DisplayPort"
161714,185567.0,Asus,2024 год; TUF; игровой; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс",180,1 000:1,350.0,"HDMI, DisplayPort"
109990,128722.0,Gigabyte,игровой; HDR; FreeSync; хороший sRGB,7,27.0,1920x1080 (16:9),"IPS, MPRT 1 мс",170,1 000:1,300.0,"HDMI, DisplayPort"
1037000,1285440.0,Samsung,Odyssey; игровой; 4K; QLED; HDMI 2.1; изогнутый; HDR; TÜV Rheinland; FreeSync; хороший NTSC; хороший sRGB,7,57.0,7680x2160 (32:9),"Mini LED QLED, отклик 1 мс",240,2 500:1,420.0,"HDMI, DisplayPort"
329990,334211.0,Asus,ROG Strix; игровой; изогнутый; HDR; Adaptive-Sync; FreeSync; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс",170,1 000:1,400.0,"HDMI, DisplayPort"
678508,755502.0,LG,2025 год; UltraFine (для графики); 4K; Power Delivery; HDR; динамики,7,31.5,3840x2160 (16:9),"IPS, отклик 5 мс",60,1 000:1,350.0,"HDMI, DisplayPort, USB C (видео)"
57990,76292.0,Acer,2025 год; Adaptive-Sync; динамики,6,23.8,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",120,,250.0,"VGA, HDMI"
554590,606845.0,AOC,2024 год; AGON; игровой; QD-OLED; изогнутый; HDR; FreeSync; динамики; хороший sRGB; хороший DCI-P3,7,34.0,3440x1440 (21:9),"QD-OLED, отклик 0.03 мс",175,1 500 000:1,250.0,"HDMI, DisplayPort"
498990,564751.0,Corsair,игровой; OLED; HDMI 2.1; Power Delivery; HDR; FreeSync; хороший sRGB; хороший DCI-P3,7,27.0,2560x1440 (16:9),"OLED, отклик 0.03 мс",240,1 500 000:1,450.0,"HDMI, DisplayPort, USB C (видео)"
254990,307332.0,Asus,2024 год; ROG Strix; игровой; Power Delivery; изогнутый; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync,7,31.5,2560x1440 (16:9),"*VA, отклик 1 мс",180,3 500:1,350.0,"HDMI, DisplayPort, USB C (видео)"
379990,428267.0,MSI,4K; HDR; KVM; картридер; хороший sRGB,7,32.0,3840x2160 (16:9),"IPS, отклик 4 мс",60,1 000:1,400.0,"HDMI, DisplayPort, USB C (видео)"
280590,340123.0,LG,UltraGear (игровые); игровой; HDR; FreeSync; хороший DCI-P3,7,32.0,2560x1440 (16:9),"IPS, отклик 1 мс",180,1 000:1,350.0,"HDMI, DisplayPort"
168063,,HP,2024 год; OMEN; игровой; HDR; Adaptive-Sync; FreeSync,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс",165,1 000:1,400.0,"HDMI, DisplayPort"
68690,81319.0,Xiaomi,2025 год; TÜV Rheinland; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 6 мс",100,1 000:1,250.0,"HDMI, DisplayPort"
311740,382749.0,Philips,2024 год; Evnia; игровой; изогнутый; HDR; FreeSync; хороший NTSC; хороший sRGB,7,31.5,2560x1440 (16:9),"*VA, отклик 0.5 мс, MPRT 0.5 мс",240,4 000:1,500.0,"HDMI, DisplayPort"
514800,574200.0,MSI,2024 год; игровой; QD-OLED; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; хороший NTSC; хороший sRGB; хороший DCI-P3,7,26.5,2560x1440 (16:9),"QD-OLED, отклик 0.03 мс",240,1 500 000:1,250.0,"HDMI, DisplayPort, USB C (видео)"
128990,147952.0,Xiaomi,2025 год; 4K; Power Delivery; HDR; TÜV Rheinland; хороший sRGB,7,27.0,3840x2160 (16:9),"IPS, отклик 6 мс",60,1 200:1,360.0,"HDMI, DisplayPort, USB C (видео)"
139593,196872.0,Gigabyte,игровой; Power Delivery; HDR; TÜV Rheinland; FreeSync; KVM,7,27.0,2560x1440 (16:9),"IPS, MPRT 1 мс",170,1 000:1,350.0,"HDMI, DisplayPort, USB C (видео)"
1037760,1194640.0,Dell,2024 год; UltraSharp; 4K; 5K; HDMI 2.1; USB C хаб; Power Delivery; изогнутый; HDR; TÜV Rheinland; KVM; динамики; хороший sRGB; хороший DCI-P3,7,39.7,5120x2160 (21:9),"IPS, отклик 5 мс",120,2 000:1,450.0,"HDMI, DisplayPort, USB C (видео), Thunderbolt, LAN"
123990,194799.0,MSI,2025 год; игровой; изогнутый; HDR; TÜV Rheinland; Adaptive-Sync; хороший sRGB,7,27.0,2560x1440 (16:9),"*VA, отклик 0.5 мс",180,5 000:1,300.0,"HDMI, DisplayPort"
207055,250458.0,Asus,TUF; игровой; HDR; FreeSync; динамики,7,27.0,1920x1080 (16:9),"IPS, отклик 1 мс",280,1 000:1,400.0,"HDMI, DisplayPort"
124300,127990.0,AOC,2024 год; Gaming (игровые); игровой; HDR; Adaptive-Sync; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс, MPRT 0.5 мс",180,1 000:1,300.0,"HDMI, DisplayPort"
170422,196017.0,Philips,2024 год; Evnia; игровой; изогнутый; HDR; Adaptive-Sync; хороший NTSC; хороший sRGB,7,34.0,3440x1440 (21:9),"*VA, отклик 1 мс, MPRT 0.5 мс",180,4 000:1,300.0,"HDMI, DisplayPort"
295956,314902.0,Samsung,2024 год; Odyssey; игровой; смарт; 4K; HDMI 2.1; HDR; Adaptive-Sync; FreeSync; динамики; Bluetooth; Wi-Fi,7,27.0,3840x2160 (16:9),"IPS, отклик 1 мс",144,1 000:1,350.0,"HDMI, DisplayPort, LAN"
324760,480375.0,Dell,2024 год; UltraSharp; для графики; HDMI 2.1; USB C хаб; Power Delivery; CalMAN; TÜV Rheinland; KVM; хороший sRGB; хороший DCI-P3,7,27.0,2560x1440 (16:9),"IPS, отклик 8 мс",120,2 000:1,350.0,"HDMI, DisplayPort, USB C (видео), Thunderbolt, LAN"
57098,83498.0,Philips,2025 год; E series; Adaptive-Sync,7,23.8,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",120,1 500:1,300.0,"VGA, HDMI"
73790,87360.0,AOC,2024 год; Gaming (игровые); игровой; HDR; Adaptive-Sync; динамики; хороший sRGB,7,23.8,1920x1080 (16:9),"IPS, отклик 1 мс, MPRT 0.5 мс",180,1 000:1,300.0,"HDMI, DisplayPort"
275794,308177.0,Dell,2025 год; Series P; HDMI 2.1; USB C хаб; Power Delivery; TÜV Rheinland,7,31.5,2560x1440 (16:9),"IPS, отклик 5 мс",100,1 500:1,350.0,"HDMI, DisplayPort, USB C (видео), LAN"
169990,294329.0,Asus,TUF; игровой; Adaptive-Sync; FreeSync; динамики; хороший sRGB,7,31.5,1920x1080 (16:9),"*VA, MPRT 1 мс",170,3 000:1,300.0,"HDMI, DisplayPort"
683795,748426.0,Dell,Alienware; игровой; QD-OLED; изогнутый; HDR; TÜV Rheinland; G-Sync; хороший sRGB; хороший DCI-P3,7,34.18,3440x1440 (21:9),"QD-OLED, отклик 1 мс",175,1 000 000:1,1000.0,"HDMI, DisplayPort"
259990,265757.0,Asus,2024 год; ZenScreen; портативный; Power Delivery; TÜV Rheinland; Adaptive-Sync; динамики; сабвуфер,7,21.5,1920x1080 (16:9),"IPS, отклик 5 мс",100,1 000:1,250.0,"HDMI, USB C (видео)"
200990,229349.0,Philips,E series; 4K; изогнутый; FreeSync; динамики; хороший NTSC; хороший sRGB,7,32.0,3840x2160 (16:9),"*VA, отклик 4 мс",60,2 500:1,250.0,"HDMI, DisplayPort"
999990,,Asus,2024 год; ROG Swift; игровой; OLED; HDMI 2.1; Power Delivery; изогнутый; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; KVM; хороший sRGB; хороший DCI-P3,7,34.0,3440x1440 (21:9),"OLED, отклик 0.03 мс",240,1 500 000:1,275.0,"HDMI, DisplayPort, USB C (видео)"
277690,315249.0,Asus,2024 год; ProArt; для графики; USB C хаб; Power Delivery; HDR; CalMAN; TÜV Rheinland; Adaptive-Sync; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 5 мс",100,1 000:1,350.0,"HDMI, DisplayPort, USB C (видео)"
